,article_id,sentence_no,sentence_length,average_word_length,max_word_length
0,111111112,1,6,3.6666666666666665,7
1,111111112,2,18,3.6666666666666665,7
2,111111112,3,17,3.6666666666666665,7
3,111111112,4,21,3.6666666666666665,7
4,111111112,5,24,3.6666666666666665,7
5,111111112,6,29,3.6666666666666665,7
6,111111112,7,4,3.6666666666666665,7
7,111111112,8,38,3.6666666666666665,7
8,111111112,9,40,3.6666666666666665,7
9,111111112,10,45,3.6666666666666665,7
10,111111112,11,15,3.6666666666666665,7
11,111111112,12,33,3.6666666666666665,7
12,111111112,13,21,3.6666666666666665,7
13,111111112,14,11,3.6666666666666665,7
14,111111112,15,0,3.6666666666666665,7
15,111111112,16,20,3.6666666666666665,7
16,111111112,17,19,3.6666666666666665,7
17,111111112,18,18,3.6666666666666665,7
18,111111112,19,0,3.6666666666666665,7
19,111111112,20,15,3.6666666666666665,7
20,111111112,21,0,3.6666666666666665,7
21,111111112,22,0,3.6666666666666665,7
22,111111112,23,0,3.6666666666666665,7
23,111111112,24,0,3.6666666666666665,7
24,111111112,25,0,3.6666666666666665,7
25,111111113,1,26,4.777777777777778,11
26,111111113,2,55,4.777777777777778,11
27,111111113,3,38,4.777777777777778,11
28,111111113,4,0,4.777777777777778,11
29,111111113,5,35,4.777777777777778,11
30,111111113,6,36,4.777777777777778,11
31,111111113,7,47,4.777777777777778,11
32,111111113,8,31,4.777777777777778,11
33,111111113,9,0,4.777777777777778,11
34,111111113,10,26,4.777777777777778,11
35,111111113,11,72,4.777777777777778,11
36,111111113,12,28,4.777777777777778,11
37,111111113,13,0,4.777777777777778,11
38,111111113,14,24,4.777777777777778,11
39,111111113,15,0,4.777777777777778,11
40,111111113,16,29,4.777777777777778,11
41,111111113,17,34,4.777777777777778,11
42,111111113,18,0,4.777777777777778,11
43,111111113,19,39,4.777777777777778,11
44,111111113,20,42,4.777777777777778,11
45,111111113,21,36,4.777777777777778,11
46,111111113,22,36,4.777777777777778,11
47,111111113,23,33,4.777777777777778,11
48,111111113,24,5,4.777777777777778,11
49,111111113,25,0,4.777777777777778,11
50,111111113,26,33,4.777777777777778,11
51,111111113,27,18,4.777777777777778,11
52,111111113,28,0,4.777777777777778,11
53,111111113,29,0,4.777777777777778,11
54,111111122,1,8,3.8,9
55,111111122,2,11,3.8,9
56,111111122,3,35,3.8,9
57,111111122,4,0,3.8,9
58,111111122,5,14,3.8,9
59,111111122,6,8,3.8,9
60,111111122,7,27,3.8,9
61,111111122,8,0,3.8,9
62,111111122,9,23,3.8,9
63,111111122,10,1,3.8,9
64,111111122,11,17,3.8,9
65,111111122,12,30,3.8,9
66,111111122,13,22,3.8,9
67,111111122,14,37,3.8,9
68,111111122,15,0,3.8,9
69,111111122,16,7,3.8,9
70,111111122,17,27,3.8,9
71,111111122,18,0,3.8,9
72,111111122,19,20,3.8,9
73,111111122,20,9,3.8,9
74,111111122,21,0,3.8,9
75,111111122,22,52,3.8,9
76,111111122,23,36,3.8,9
77,111111122,24,0,3.8,9
78,111111122,25,49,3.8,9
79,111111122,26,37,3.8,9
80,111111122,27,0,3.8,9
81,111111122,28,30,3.8,9
82,111111122,29,20,3.8,9
83,111111122,30,0,3.8,9
84,111111122,31,50,3.8,9
85,111111122,32,30,3.8,9
86,111111122,33,44,3.8,9
87,111111122,34,0,3.8,9
88,111111122,35,2,3.8,9
89,111111122,36,25,3.8,9
90,111111122,37,0,3.8,9
91,111111122,38,0,3.8,9
92,111111124,1,13,4.675675675675675,12
93,111111124,2,41,4.675675675675675,12
94,111111124,3,33,4.675675675675675,12
95,111111124,4,0,4.675675675675675,12
96,111111124,5,0,4.675675675675675,12
97,111111124,6,0,4.675675675675675,12
98,111111124,7,27,4.675675675675675,12
99,111111124,8,33,4.675675675675675,12
100,111111124,9,46,4.675675675675675,12
101,111111124,10,30,4.675675675675675,12
102,111111124,11,37,4.675675675675675,12
103,111111124,12,31,4.675675675675675,12
104,111111124,13,35,4.675675675675675,12
105,111111124,14,28,4.675675675675675,12
106,111111124,15,0,4.675675675675675,12
107,111111124,16,0,4.675675675675675,12
108,111111124,17,0,4.675675675675675,12
109,111111124,18,0,4.675675675675675,12
110,111111124,19,42,4.675675675675675,12
111,111111124,20,30,4.675675675675675,12
112,111111124,21,37,4.675675675675675,12
113,111111124,22,0,4.675675675675675,12
114,111111124,23,0,4.675675675675675,12
115,111111131,1,13,4.366666666666666,9
116,111111131,2,38,4.366666666666666,9
117,111111131,3,21,4.366666666666666,9
118,111111131,4,23,4.366666666666666,9
119,111111131,5,8,4.366666666666666,9
120,111111131,6,20,4.366666666666666,9
121,111111131,7,9,4.366666666666666,9
122,111111131,8,15,4.366666666666666,9
123,111111131,9,34,4.366666666666666,9
124,111111131,10,19,4.366666666666666,9
125,111111131,11,56,4.366666666666666,9
126,111111131,12,19,4.366666666666666,9
127,111111131,13,49,4.366666666666666,9
128,111111131,14,20,4.366666666666666,9
129,111111131,15,19,4.366666666666666,9
130,111111131,16,22,4.366666666666666,9
131,111111131,17,21,4.366666666666666,9
132,111111131,18,11,4.366666666666666,9
133,111111131,19,20,4.366666666666666,9
134,111111131,20,11,4.366666666666666,9
135,111111131,21,38,4.366666666666666,9
136,111111131,22,31,4.366666666666666,9
137,111111131,23,28,4.366666666666666,9
138,111111131,24,25,4.366666666666666,9
139,111111131,25,10,4.366666666666666,9
140,111111131,26,44,4.366666666666666,9
141,111111131,27,9,4.366666666666666,9
142,111111131,28,12,4.366666666666666,9
143,111111131,29,32,4.366666666666666,9
144,111111131,30,16,4.366666666666666,9
145,111111131,31,29,4.366666666666666,9
146,111111131,32,31,4.366666666666666,9
147,111111131,33,29,4.366666666666666,9
148,111111131,34,21,4.366666666666666,9
149,111111131,35,30,4.366666666666666,9
150,111111131,36,0,4.366666666666666,9
151,111111131,37,0,4.366666666666666,9
152,111111132,1,12,3.8095238095238093,7
153,111111132,2,8,3.8095238095238093,7
154,111111132,3,15,3.8095238095238093,7
155,111111132,4,12,3.8095238095238093,7
156,111111132,5,0,3.8095238095238093,7
157,111111132,6,0,3.8095238095238093,7
158,111111132,7,32,3.8095238095238093,7
159,111111132,8,15,3.8095238095238093,7
160,111111132,9,12,3.8095238095238093,7
161,111111132,10,52,3.8095238095238093,7
162,111111132,11,27,3.8095238095238093,7
163,111111132,12,18,3.8095238095238093,7
164,111111132,13,18,3.8095238095238093,7
165,111111132,14,15,3.8095238095238093,7
166,111111132,15,33,3.8095238095238093,7
167,111111132,16,10,3.8095238095238093,7
168,111111132,17,13,3.8095238095238093,7
169,111111132,18,27,3.8095238095238093,7
170,111111132,19,0,3.8095238095238093,7
171,111111132,20,38,3.8095238095238093,7
172,111111132,21,19,3.8095238095238093,7
173,111111132,22,8,3.8095238095238093,7
174,111111132,23,12,3.8095238095238093,7
175,111111132,24,19,3.8095238095238093,7
176,111111132,25,20,3.8095238095238093,7
177,111111132,26,14,3.8095238095238093,7
178,111111132,27,9,3.8095238095238093,7
179,111111132,28,22,3.8095238095238093,7
180,111111132,29,0,3.8095238095238093,7
181,111111132,30,20,3.8095238095238093,7
182,111111132,31,30,3.8095238095238093,7
183,111111132,32,6,3.8095238095238093,7
184,111111132,33,29,3.8095238095238093,7
185,111111132,34,15,3.8095238095238093,7
186,111111132,35,5,3.8095238095238093,7
187,111111132,36,2,3.8095238095238093,7
188,111111132,37,24,3.8095238095238093,7
189,111111132,38,0,3.8095238095238093,7
190,111111132,39,32,3.8095238095238093,7
191,111111132,40,7,3.8095238095238093,7
192,111111132,41,23,3.8095238095238093,7
193,111111132,42,36,3.8095238095238093,7
194,111111132,43,15,3.8095238095238093,7
195,111111132,44,0,3.8095238095238093,7
196,111111132,45,27,3.8095238095238093,7
197,111111132,46,0,3.8095238095238093,7
198,111111132,47,0,3.8095238095238093,7
199,111111132,48,0,3.8095238095238093,7
200,111111132,49,25,3.8095238095238093,7
201,111111132,50,14,3.8095238095238093,7
202,111111132,51,5,3.8095238095238093,7
203,111111132,52,3,3.8095238095238093,7
204,111111132,53,49,3.8095238095238093,7
205,111111132,54,14,3.8095238095238093,7
206,111111132,55,31,3.8095238095238093,7
207,111111132,56,9,3.8095238095238093,7
208,111111132,57,0,3.8095238095238093,7
209,111111132,58,30,3.8095238095238093,7
210,111111132,59,3,3.8095238095238093,7
211,111111132,60,25,3.8095238095238093,7
