ArticleId:start:stop, Happiness, HarmVirtue, HarmVice, FairnessVirtue, FairnessVice, IngroupVirtue, IngroupVice, AuthorityVirtue, AuthorityVice, PurityVirtue, PurityVice, MoralityGeneral, bias_count, assertives_count, factives_count, hedges_count, implicatives_count, report_verbs_count, positive_op_count, negative_op_count, wneg_count, wpos_count, wneu_count, sneg_count, spos_count, sneu_count, TTR,vad_neg,vad_neu,vad_pos,FKE,SMOG,stop,wordlen,WC,quotes,Exclaim,AllPunc,allcaps,CC,CD,DT,EX,FW,IN,JJ,JJR,JJS,LS,MD,NN,NNS,NNP,NNPS,PDT,POS,PRP,PRP$,RB,RBR,RBS,RP,SYM,TO,UH,WP$,WRB,VB,VBD,VBG,VBN,VBP,VBZ,WDT,WP,funct,pronoun,ppron,i,we,you,shehe,they,ipron,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,quant,number,swear,social,family,friend,humans,affect,posemo,negemo,anx,anger,sad,cogmech,insight,cause,discrep,tentat,certain,inhib,incl,excl,percept,see,hear,feel,bio,body,health,sexual,ingest,relativ,motion,space,time,work,achieve,leisure,home,money,relig,death,assent,nonfl,filler,avg_word_sim,avg_sent_sim,x_y,x_2,y_2,PropagandaTechnique
111111112:191:221,5.165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.423,0.577,0,18.42,3,0.2,6,5,0,0,20,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,20,0,0,0,0,0.065505824,0.521500088,0.041495167,0.064896266,0.330348231,Slogans
111111112:476:556,5.694545455,0,0,0,0,0,0,0,0,0,0,0,0.142857143,0,0,0,0,0.071428571,0,0.071428571,0,0.071428571,0,0.071428571,0,0.071428571,1,0.139,0.588,0.273,6.7271,8.477225575,0.214285714,5.363636364,14,0,0,0,0,0.071428571,0,0.142857143,0,0,0,0,0,0,0,0,0,0.214285714,0,0,0,0,0.071428571,0.071428571,0.071428571,0,0,0,0,0.071428571,0,0.071428571,0,0,0,0,0.071428571,0.142857143,0,0,0,42.85714286,21.42857143,7.142857143,0,7.142857143,0,0,0,14.28571429,0,0,0,0,0,0,0,7.142857143,7.142857143,0,7.142857143,0,0,21.42857143,0,0,0,7.142857143,7.142857143,0,0,0,0,14.28571429,0,0,0,0,7.142857143,0,7.142857143,0,7.142857143,7.142857143,0,0,0,0,0,0,0,7.142857143,7.142857143,0,0,0,0,0,0,0,0,0,0,0,0,0.339890279,0.521500088,0.215306104,1.676764809,0.330348231,Black-and-White_Fallacy
111111112:785:798,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,0.25,0,8.79,3,0,4.333333333,3,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,33.33333333,0,0,33.33333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,33.33333333,0,0,0,0,1.712279759,0.521500088,1.084656747,14.39704302,0.330348231,Slogans
111111112:958:1015,5.105,0,0,0,0,0.076923077,0,0,0,0,0,0,0.153846154,0,0,0,0,0,0,0.076923077,0.076923077,0,0,0,0,0,0.818181818,0.301,0.699,0,0.5,3,0.384615385,4,13,7.692307692,0,7.692307692,0,0,0,0.272727273,0,0,0,0.090909091,0,0,0,0,0.181818182,0,0.181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.090909091,0,0,0,0.090909091,0.090909091,0,38.46153846,7.692307692,0,0,0,0,0,0,7.692307692,23.07692308,15.38461538,7.692307692,7.692307692,7.692307692,0,0,0,0,0,0,0,0,7.692307692,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.38461538,0,15.38461538,0,0,0,0,0,0,0,7.692307692,0,0,0,0.719378522,0.521500088,0.455695843,0,0.330348231,Loaded_Language
111111112:1456:1536,5.05,0,0,0,0,0,0,0,0,0,0,0,0.066666667,0,0,0.066666667,0,0,0,0.133333333,0,0,0.066666667,0.133333333,0,0,1,0.214,0.636,0.15,8.5415,8.477225575,0.266666667,5,15,6.666666667,0,6.666666667,0.066666667,0,0,0.153846154,0,0,0.076923077,0.076923077,0,0,0,0.076923077,0.153846154,0.076923077,0.076923077,0,0,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0.076923077,0,0,0,0.076923077,0,0,0.076923077,40,6.666666667,0,0,0,0,0,0,6.666666667,13.33333333,13.33333333,6.666666667,0,6.666666667,6.666666667,0,6.666666667,0,6.666666667,0,0,0,6.666666667,0,0,0,6.666666667,0,6.666666667,0,6.666666667,0,13.33333333,0,0,6.666666667,0,6.666666667,0,0,0,6.666666667,0,6.666666667,0,0,0,0,0,0,13.33333333,0,0,6.666666667,6.666666667,6.666666667,0,0,0,0,0,0,0,0,0.910840581,0.521500088,0.576978952,0,0.330348231,Flag-Waving
111111112:1810:1824,3.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.5,0,0,1,0.787,0.213,0,2.89,3,0,6.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,50,0,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.988918574,0.521500088,4.427184077,0,0.330348231,"Name_Calling,Labeling"
111111112:2095:2125,5.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666667,0,0,0,0,0,0.166666667,0,1,0,0.476,0.524,6.62,10.74596669,0.333333333,5,6,16.66666667,0,16.66666667,0,0,0,0.25,0,0,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,0,0,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33333333,16.66666667,0,0,0,0,0,16.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.602427738,0.521500088,1.214226867,2.125452932,0.243318733,Loaded_Language
111111112:911:942,5.12,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.4,0.2,0.4,0.2,0,0,0.2,0,1,0,0.488,0.512,5.24,3,0.2,6.5,5,0,0,0,0,0,0,0.2,0,0,0.2,0.2,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.417310862,0.521500088,1.594430693,13.37120338,0.243318733,Loaded_Language
111111112:1738:1787,6.012,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,0.125,0,0,0.125,0,0.125,0,0,0.875,0,0.625,0.375,8.18,10.74596669,0.375,7,8,0,0,0,0,0.125,0,0,0,0,0.25,0.125,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,12.5,0,12.5,0,12.5,0,0,0,0,0,0,12.5,0,12.5,0,0,0,0,0,0,0,0,0,0,0,1.962856852,0.521500088,0.915819291,77.06320465,0.243318733,"Name_Calling,Labeling"
111111113:1396:1430,5.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,7.6,8.477225575,0.2,7,5,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,0,0,0,0,0,0,20,0,0,20,20,20,0,0,0,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0.196405439,0.54096398,0.075194924,0.024265584,0.207111095,Loaded_Language
